case,recipe,query,node,operation,row_start,row_end,guarantee,closure,logical_bytes,delivered_bytes,possible_fields,reason
1,"Patch(FOR(BitPack))",GET,0,LoadMetadata { field: FieldId(0) },8199,8200,PhysicalBytes,exact,576,576,"",""
1,"Patch(FOR(BitPack))",GET,1,RefineCandidates,8199,8200,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
1,"Patch(FOR(BitPack))",GET,2,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 8 } },8199,8200,PhysicalBytes,exact,584,584,"",""
1,"Patch(FOR(BitPack))",GET,3,ReadRange { field: FieldId(5), bytes: Span { start: 17422, end: 17425 } },8199,8200,PhysicalBytes,exact,579,848,"",""
1,"Patch(FOR(BitPack))",GET,4,MaterializeRows,8199,8200,ExactScalar,exact,0,0,"",""
1,"Patch(FOR(BitPack))",SUM_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,576,576,"",""
1,"Patch(FOR(BitPack))",SUM_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
1,"Patch(FOR(BitPack))",SUM_1PCT,2,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 8 } },8111,8274,PhysicalBytes,exact,584,584,"",""
1,"Patch(FOR(BitPack))",SUM_1PCT,3,ReadRange { field: FieldId(5), bytes: Span { start: 17235, end: 17583 } },8111,8274,PhysicalBytes,exact,924,1120,"",""
1,"Patch(FOR(BitPack))",SUM_1PCT,4,AggregateEncoded,8111,8274,ExactScalar,exact,0,0,"",""
1,"Patch(FOR(BitPack))",BETWEEN_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,576,576,"",""
1,"Patch(FOR(BitPack))",BETWEEN_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
1,"Patch(FOR(BitPack))",BETWEEN_1PCT,2,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 8 } },8111,8274,PhysicalBytes,exact,584,584,"",""
1,"Patch(FOR(BitPack))",BETWEEN_1PCT,3,ReadRange { field: FieldId(5), bytes: Span { start: 17235, end: 17583 } },8111,8274,PhysicalBytes,exact,924,1120,"",""
1,"Patch(FOR(BitPack))",BETWEEN_1PCT,4,RefineCandidates,8111,8274,ExactBitmap,exact,0,0,"",""
1,"Patch(FOR(BitPack))",FILTER_POINT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,576,576,"",""
1,"Patch(FOR(BitPack))",FILTER_POINT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
1,"Patch(FOR(BitPack))",FILTER_POINT,2,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 8 } },0,16384,PhysicalBytes,exact,584,584,"",""
1,"Patch(FOR(BitPack))",FILTER_POINT,3,ReadRange { field: FieldId(5), bytes: Span { start: 0, end: 34816 } },0,16384,PhysicalBytes,exact,35392,35392,"",""
1,"Patch(FOR(BitPack))",FILTER_POINT,4,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
1,"Patch(FOR(BitPack))",FILTER_50PCT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,576,576,"",""
1,"Patch(FOR(BitPack))",FILTER_50PCT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
1,"Patch(FOR(BitPack))",FILTER_50PCT,2,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 8 } },0,16384,PhysicalBytes,exact,584,584,"",""
1,"Patch(FOR(BitPack))",FILTER_50PCT,3,ReadRange { field: FieldId(5), bytes: Span { start: 0, end: 34816 } },0,16384,PhysicalBytes,exact,35392,35392,"",""
1,"Patch(FOR(BitPack))",FILTER_50PCT,4,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",GET,0,LoadMetadata { field: FieldId(0) },8199,8200,PhysicalBytes,exact,640,640,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",GET,1,RefineCandidates,8199,8200,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
2,"Nullable(Dictionary(RLE(BitPack)))",GET,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"4|5","RLE index determines intersecting run lengths and value rows"
2,"Nullable(Dictionary(RLE(BitPack)))",GET,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 111 } },0,443,PhysicalBytes,runtime_refined,0,0,"6","bit range depends on runtime-refined parent rows"
2,"Nullable(Dictionary(RLE(BitPack)))",GET,4,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3","decoded ids determine the referenced dictionary subset"
2,"Nullable(Dictionary(RLE(BitPack)))",GET,5,MaterializeRows,8199,8200,ExactScalar,exact,0,0,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",SUM_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,640,640,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",SUM_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
2,"Nullable(Dictionary(RLE(BitPack)))",SUM_1PCT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"4|5","RLE index determines intersecting run lengths and value rows"
2,"Nullable(Dictionary(RLE(BitPack)))",SUM_1PCT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 111 } },0,443,PhysicalBytes,runtime_refined,0,0,"6","bit range depends on runtime-refined parent rows"
2,"Nullable(Dictionary(RLE(BitPack)))",SUM_1PCT,4,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3","decoded ids determine the referenced dictionary subset"
