pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
9,50pct,generated_selective,12408.3,12417.6,12428.6,121749,2016,2848,4863,4863,2,1,0,2016,0,2017,4863,0,0,false
9,50pct,generated_fused,22307.0,22307.7,22350.1,121749,2016,5368,4863,4863,1,1,0,4032,0,4033,4863,0,0,false
9,50pct,generated_direct_selective,7643.5,7643.7,7650.6,121749,2016,2784,2984,2984,3,0,0,2016,0,2017,5440,0,0,false
9,50pct,parquet_row_selection,10806.2,10821.8,10833.2,121749,2016,0,4536,4536,6,0,0,2016,0,2016,5995,0,0,false
10,0.1pct,generated_selective,5323.6,5334.5,5340.7,56405898,1,738,4753,4753,2,1,0,1,0,110,4753,0,0,false
10,0.1pct,generated_fused,13870.3,13877.5,13885.1,56405898,1,5007,4753,4753,1,1,0,1243,0,1243,4753,0,0,false
10,0.1pct,generated_direct_selective,78.2,78.3,78.3,56405898,1,269,744,744,3,0,0,1,0,2,5120,0,0,false
10,0.1pct,parquet_row_selection,6525.8,6539.6,6540.2,56405898,1,0,4255,4255,4,0,0,1,0,1,5116,0,0,false
10,1pct,generated_selective,5349.9,5352.8,5359.0,713746114,12,757,4753,4753,2,1,0,12,0,115,4753,0,0,false
10,1pct,generated_fused,13874.1,13876.9,13886.4,713746114,12,5007,4753,4753,1,1,0,1243,0,1243,4753,0,0,false
10,1pct,generated_direct_selective,135.6,135.6,135.7,713746114,12,310,744,744,3,0,0,12,0,13,5120,0,0,false
10,1pct,parquet_row_selection,6606.7,6608.4,6628.0,713746114,12,0,4255,4255,4,0,0,12,0,12,5116,0,0,false
10,10pct,generated_selective,5613.6,5620.4,5621.9,5997398414,124,967,4753,4753,2,1,0,124,0,171,4753,0,0,false
10,10pct,generated_fused,14119.1,14122.5,14124.2,5997398414,124,5007,4753,4753,1,1,0,1243,0,1243,4753,0,0,false
10,10pct,generated_direct_selective,543.2,547.6,554.0,5997398414,124,730,1224,1224,3,0,0,124,0,125,5120,0,0,false
10,10pct,parquet_row_selection,6795.8,6806.5,6807.5,5997398414,124,0,4255,4255,4,0,0,124,0,124,5116,0,0,false
10,50pct,generated_selective,7968.0,7968.2,7972.1,21092643372,621,2870,4753,4753,2,1,0,621,0,676,4753,0,0,false
10,50pct,generated_fused,15141.7,15151.0,15173.8,21092643372,621,5007,4753,4753,1,1,0,1243,0,1243,4753,0,0,false
10,50pct,generated_direct_selective,2434.5,2445.3,2445.5,21092643372,621,2593,3144,3144,3,0,0,621,0,622,5120,0,0,false
10,50pct,parquet_row_selection,7348.5,7365.5,7376.0,21092643372,621,0,4255,4255,4,0,0,621,0,621,5116,0,0,false
11,0.1pct,generated_selective,16374.3,16380.6,16386.3,182914,10,416,18855,18855,2,1,0,10,0,45,18855,0,0,false
11,0.1pct,generated_fused,93402.1,93406.4,93494.2,182914,10,21206,18855,18855,1,1,0,10320,0,10320,18855,0,0,false
11,0.1pct,generated_direct_selective,134.8,134.9,135.1,182914,10,284,520,520,3,0,0,10,0,11,21056,0,0,false
11,0.1pct,parquet_row_selection,6373.1,6387.6,6389.1,182914,10,0,3173,3173,4,0,0,10,0,10,20311,0,0,false
11,1pct,generated_selective,17794.6,17795.6,17808.6,1719974,103,1026,18855,18855,2,1,0,103,0,347,18855,0,0,false
11,1pct,generated_fused,93415.5,93477.5,93480.8,1719974,103,21206,18855,18855,1,1,0,10320,0,10320,18855,0,0,false
11,1pct,generated_direct_selective,470.6,472.9,474.8,1719974,103,470,776,776,3,0,0,103,0,104,21056,0,0,false
11,1pct,parquet_row_selection,7783.1,7787.0,7787.6,1719974,103,0,5011,5011,5,0,0,103,0,103,20311,0,0,false
11,10pct,generated_selective,20965.4,20971.5,20979.1,16551387,1032,2486,18855,18855,2,1,0,1032,0,1068,18855,0,0,false
11,10pct,generated_fused,92545.6,92576.6,92689.7,16551387,1032,21206,18855,18855,1,1,0,10320,0,10320,18855,0,0,false
11,10pct,generated_direct_selective,3944.4,3945.6,3945.8,16551387,1032,2328,2568,2568,3,0,0,1032,0,1033,21056,0,0,false
11,10pct,parquet_row_selection,9152.4,9155.8,9156.6,16551387,1032,0,5011,5011,5,0,0,1032,0,1032,20311,0,0,false
11,50pct,generated_selective,40823.9,40860.1,40872.6,80404463,5160,10806,18855,18855,2,1,0,5160,0,5180,18855,0,0,false
11,50pct,generated_fused,103825.9,103880.2,103901.2,80404463,5160,21206,18855,18855,1,1,0,10320,0,10320,18855,0,0,false
11,50pct,generated_direct_selective,19208.7,19210.0,19227.6,80404463,5160,10584,10760,10760,3,0,0,5160,0,5161,21056,0,0,false
11,50pct,parquet_row_selection,19425.6,19444.6,19445.0,80404463,5160,0,12322,12322,9,0,0,5160,0,5160,20311,0,0,false
12,0.1pct,generated_selective,5490.2,5498.8,5498.8,779,2,725,3696,3696,2,1,0,2,0,227,3696,0,0,false
12,0.1pct,generated_fused,22684.6,22716.3,22722.3,779,2,4765,3696,3696,1,1,0,2500,0,2500,3696,0,0,false
12,0.1pct,generated_direct_selective,81.4,81.4,81.6,779,2,268,472,472,3,0,0,2,0,3,4480,0,0,false
12,0.1pct,parquet_row_selection,6086.1,6091.4,6224.0,779,2,0,2294,2294,4,0,0,2,0,2,7128,0,0,false
12,1pct,generated_selective,5578.9,5581.6,5582.6,8500,25,744,3696,3696,2,1,0,25,0,238,3696,0,0,false
12,1pct,generated_fused,22744.4,22766.8,22773.4,8500,25,4765,3696,3696,1,1,0,2500,0,2500,3696,0,0,false
12,1pct,generated_direct_selective,205.9,205.9,206.0,8500,25,305,472,472,3,0,0,25,0,26,4480,0,0,false
12,1pct,parquet_row_selection,6196.1,6204.0,6221.1,8500,25,0,2294,2294,4,0,0,25,0,25,7128,0,0,false
12,10pct,generated_selective,6127.7,6131.4,6136.5,84588,250,949,3696,3696,2,1,0,250,0,351,3696,0,0,false
12,10pct,generated_fused,23218.7,23229.6,23273.2,84588,250,4765,3696,3696,1,1,0,2500,0,2500,3696,0,0,false
12,10pct,generated_direct_selective,1044.9,1045.2,1045.4,84588,250,671,888,888,3,0,0,250,0,251,4480,0,0,false
12,10pct,parquet_row_selection,6616.6,6632.2,6643.8,84588,250,0,2294,2294,4,0,0,250,0,250,7128,0,0,false
12,50pct,generated_selective,10772.7,10784.4,10788.8,475636,1250,2748,3696,3696,2,1,0,1250,0,1363,3696,0,0,false
